아파트 이름,건축 연도,거래 연도,거래 월,거래 일,보증금(만원),월세(만원),전용 면적(㎡),층수,법정동명
래미안길음센터피스,2019,2022,3,21,"19,766",0,33.46,5,길음동
길음뉴타운8단지(래미안),2010,2022,3,31,"52,000",0,59.99,6,길음동
길음뉴타운1단지(래미안길음1차),2003,2022,3,17,"42,000",0,59.99,16,길음동
월곡래미안루나밸리,2007,2022,3,10,"56,000",0,84.88,7,하월곡동
길음뉴타운경남아너스빌,1999,2022,3,26,"37,000",0,50.45,14,정릉동
성북힐스테이트(101동),2007,2022,3,25,"42,000",0,84.14,15,하월곡동
꿈의숲아이파크,2022,2022,3,4,"70,000",0,84.48,18,장위동
보문리슈빌하우트,2022,2022,3,25,"59,000",0,59.79,5,보문동1가
래미안세레니티,2009,2022,3,5,"55,000",0,59.97,9,종암동
래미안장위퍼스트하이,2020,2022,4,23,"63,000",0,84.94,2,장위동
코오롱,1999,2022,4,12,"5,000",100,59.94,8,삼선동4가
석관래미안,2009,2022,4,30,"10,000",135,84.84,17,석관동
길음뉴타운6단지(래미안),2007,2022,4,16,"53,000",0,59.373,18,길음동
길음뉴타운2단지푸르지오,2005,2022,4,9,"37,000",0,59.99,16,길음동
한신,1998,2022,4,4,"36,750",0,68.13,16,돈암동
정릉2차e-편한세상,2009,2022,4,21,"8,000",160,84.4,5,정릉동
두산,1998,2022,4,23,"35,700",0,59.97,11,석관동
꿈의숲아이파크,2022,2022,4,19,"20,000",150,84.48,8,장위동
두산,1998,2022,4,9,"41,000",6,84.9,10,석관동
동아에코빌,2003,2022,5,23,"30,450",0,59.95,22,상월곡동
래미안장위퍼스트하이,2020,2022,5,10,"55,000",0,59.99,13,장위동
정릉풍림아이원,2005,2022,5,16,"26,250",0,59.88,5,정릉동
보문파크뷰자이,2017,2022,5,15,"47,000",0,45.81,3,보문동6가
래미안크리시엘,2004,2022,5,21,"55,000",0,84.95,9,종암동
정릉힐스테이트3차,2008,2022,5,25,"57,000",0,84.97,10,정릉동
정릉힐스테이트3차,2008,2022,5,25,"57,000",0,84.97,10,정릉동
길음뉴타운6단지(래미안),2007,2022,5,21,"20,000",120,59.373,5,길음동
길음뉴타운6단지(래미안),2007,2022,5,21,"20,000",120,59.373,5,길음동
길음뉴타운4단지(e편한세상),2005,2022,5,23,"43,540",0,59.97,15,길음동
길음뉴타운신안파크아파트,1988,2022,6,12,"31,500",0,79.87,11,길음동
길음뉴타운7단지(두산위브),2010,2022,6,12,"57,700",0,84.96,16,길음동
이편한세상보문,2013,2022,6,24,"70,000",0,84.904,13,보문동3가
꿈의숲코오롱하늘채,2017,2022,6,24,"10,000",150,59.35,18,장위동
보문리슈빌하우트,2022,2022,6,18,"63,000",0,59.79,13,보문동1가
정릉풍림아이원,2005,2022,6,18,"28,350",0,59.88,6,정릉동
정릉푸른마을동아,2003,2022,6,11,"40,000",0,59.4,4,정릉동
코오롱,1999,2022,6,30,"50,000",0,59.94,6,삼선동4가
석관래미안,2009,2022,6,18,"50,000",0,59.9,5,석관동
꿈의숲아이파크,2022,2022,6,20,"10,000",160,59.1,5,장위동
정릉힐스테이트,2004,2022,7,5,"61,000",0,84.92,2,정릉동
삼부컨비니언,1998,2022,7,24,"40,000",0,59.94,15,길음동
돈암동삼성,1999,2022,7,9,"30,000",50,84.59,16,돈암동
보문파크뷰자이,2017,2022,7,29,"48,000",0,45.81,3,보문동6가
종암에스케이,1999,2022,7,2,"5,000",110,59.86,13,종암동
현대I-PARK,2003,2022,7,16,"8,000",155,59.49,11,보문동3가
보문파크뷰자이,2017,2022,7,14,"50,000",0,45.81,5,보문동6가
길음뉴타운1단지(래미안길음1차),2003,2022,7,26,"37,480",0,59.99,3,길음동
길음뉴타운8단지(래미안),2010,2022,7,30,"53,000",0,59.99,7,길음동
월곡래미안루나밸리,2007,2022,7,30,"44,100",0,59.98,6,하월곡동
길음뉴타운9단지(래미안),2010,2022,8,13,"53,000",0,59.96,12,길음동
길음뉴타운4단지(e편한세상),2005,2022,8,3,"48,200",7,84.64,5,길음동
정릉풍림아이원,2005,2022,8,10,"47,000",0,84.09,17,정릉동
래미안길음센터피스,2019,2022,8,9,"5,000",180,59.97,7,길음동
삼부컨비니언,1998,2022,8,21,"20,000",80,59.94,9,길음동
길음뉴타운2단지푸르지오,2005,2022,8,11,"48,000",0,59.99,10,길음동
길음뉴타운경남아너스빌,1999,2022,8,13,"39,000",0,59.59,4,정릉동
래미안세레니티,2009,2022,8,13,"45,200",0,59.97,7,종암동
정릉푸르지오,2005,2022,8,6,"64,000",0,114.93,11,정릉동
범양,1998,2022,8,29,"30,000",0,59.79,16,돈암동
두산,1998,2022,9,22,"44,000",0,59.97,14,석관동
래미안길음센터피스,2019,2022,9,24,"30,000",120,59.97,18,길음동
길음동동부센트레빌(1278-0),2003,2022,9,20,"22,000",70,84.844,3,길음동
길음뉴타운1단지(래미안길음1차),2003,2022,9,9,"38,500",0,59.99,8,길음동
길음뉴타운8단지(래미안),2010,2022,9,20,"44,000",0,59.99,17,길음동
동아에코빌,2003,2022,9,17,"15,000",100,84.97,4,상월곡동
동아에코빌,2003,2022,9,17,"15,000",100,84.97,4,상월곡동
두산,1998,2022,9,2,"45,000",0,59.97,8,석관동
동신,1998,2022,9,17,"43,000",0,59.88,15,하월곡동
길음뉴타운1단지(래미안길음1차),2003,2022,9,16,"25,000",110,84.96,14,길음동
길음뉴타운경남아너스빌,1999,2022,10,19,"39,000",0,59.59,4,정릉동
돈암동더샵아파트,2006,2022,10,11,"20,000",140,84.817,7,돈암동
꿈의숲아이파크,2022,2022,10,29,"20,000",160,84.48,11,장위동
꿈의숲아이파크,2022,2022,10,23,"39,900",0,59.1,26,장위동
꿈의숲아이파크,2022,2022,10,16,"10,000",170,59.1,11,장위동
길음뉴타운6단지(래미안),2007,2022,10,22,"40,000",0,59.373,4,길음동
롯데캐슬클라시아,2022,2022,10,27,"5,000",195,59.7812,13,길음동
두산,1998,2022,10,1,"40,000",60,84.9,17,석관동
꿈의숲아이파크,2022,2022,10,11,"10,000",170,59.1,12,장위동
꿈의숲아이파크,2022,2022,10,8,"50,000",0,59.1,26,장위동
동부센트레빌,2003,2022,11,22,"47,000",0,80.54,6,돈암동
동아에코빌,2003,2022,11,7,"29,000",0,59.95,1,상월곡동
이수브라운스톤돈암,2004,2022,11,25,"42,000",0,59.99,1,돈암동
꿈의숲아이파크,2022,2022,11,12,"47,000",0,59.1,22,장위동
두산,1998,2022,11,15,"5,250",95,59.97,12,석관동
길음역금호어울림센터힐,2014,2022,11,17,"43,000",25,59.5,12,돈암동
정릉풍림아이원,2005,2022,11,18,"39,000",0,84.09,7,정릉동
월곡두산위브,2003,2022,11,29,"35,500",0,59.855,4,하월곡동
종암에스케이,1999,2022,11,26,"35,000",0,59.04,17,종암동
래미안월곡,2006,2022,11,30,"42,000",0,84.589,17,하월곡동
롯데캐슬클라시아,2022,2022,12,9,"25,000",180,84.7694,21,길음동
길음뉴타운경남아너스빌,1999,2022,12,20,"4,500",130,59.59,7,정릉동
래미안아트리치,2019,2022,12,22,"45,000",0,59.98,15,석관동
길음뉴타운9단지(래미안),2010,2022,12,14,"11,000",130,59.96,7,길음동
돈암현대아파트,1991,2022,12,20,"2,000",70,41.58,5,돈암동
우방아파트,2001,2022,12,10,"25,200",0,59.98,16,장위동
범양,1998,2022,12,10,"31,500",0,59.79,17,돈암동
꿈의숲아이파크,2022,2022,12,23,"15,000",110,59.1,10,장위동
길음뉴타운2단지푸르지오,2005,2022,12,28,"57,000",0,114.73,1,길음동
두산,1998,2022,12,17,"5,000",89,54.55,21,석관동
돈암동더샵아파트,2006,2023,2,2,"38,000",0,84.817,9,돈암동
샹그레빌아파트,2004,2023,2,4,"35,000",0,79.248,7,하월곡동
대우,2001,2023,2,5,"24,500",0,43.11,17,정릉동
동부센트레빌,2003,2023,2,18,"42,000",0,81.82,9,돈암동
장위지웰에스테이트,2022,2023,2,6,"28,000",0,38.996,6,장위동
월곡두산위브,2003,2023,2,4,"30,000",20,59.855,20,하월곡동
극동,2000,2023,2,13,"14,000",100,84.96,8,종암동
래미안장위퍼스트하이,2020,2023,2,17,"41,500",0,59.99,18,장위동
꿈의숲푸르지오,2010,2023,2,7,"30,000",0,59.65,8,하월곡동
길음뉴타운9단지(래미안),2010,2023,2,17,"8,000",150,59.98,12,길음동
길음뉴타운3단지푸르지오,2005,2023,3,18,"35,000",0,59.77,14,길음동
래미안길음센터피스,2019,2023,3,20,"60,000",0,59.97,4,길음동
길음뉴타운2단지푸르지오,2005,2023,3,18,"35,000",0,59.99,4,길음동
돈암동더샵아파트,2006,2023,3,10,"30,000",29,84.817,2,돈암동
동아에코빌,2003,2023,3,11,"30,000",80,114.66,9,상월곡동
꿈의숲아이파크,2022,2023,3,22,"60,000",0,84.47,23,장위동
래미안아트리치,2019,2023,3,26,"41,000",0,59.98,2,석관동
래미안라센트,2011,2023,3,10,"50,000",0,84.99,13,종암동
보문파크뷰자이,2017,2023,3,19,"46,000",0,59.81,4,보문동6가
롯데캐슬클라시아,2022,2023,3,4,"30,000",110,59.7812,14,길음동
정릉풍림아이원,2005,2023,4,6,"39,500",0,59.88,9,정릉동
래미안길음센터피스,2019,2023,4,1,"35,000",0,59.97,10,길음동
보문파크뷰자이,2017,2023,4,29,"40,000",18,84.99,1,보문동6가
롯데캐슬골든힐스,2019,2023,4,15,"55,000",0,84.932,21,길음동
래미안월곡,2006,2023,4,20,"10,000",155,84.589,10,하월곡동
월곡두산위브,2003,2023,4,3,"5,000",150,84.843,15,하월곡동
꿈의숲대명루첸아파트,2008,2023,4,12,"50,000",0,103.526,1,장위동
꿈의숲아이파크,2022,2023,4,10,"48,000",0,84.47,11,장위동
정릉풍림아이원,2005,2023,4,25,"5,000",90,59.88,10,정릉동
두산,1998,2023,4,1,"43,000",0,84.9,24,석관동
길음뉴타운3단지푸르지오,2005,2023,5,22,"36,000",0,59.99,5,길음동
래미안길음센터피스,2019,2023,5,20,"75,000",0,84.66,8,길음동
래미안크리시엘,2004,2023,5,4,"5,000",135,59.99,12,종암동
꿈의숲아이파크,2022,2023,5,20,"47,000",0,59.1,12,장위동
보문파크뷰자이,2017,2023,5,25,"46,000",0,59.81,2,보문동6가
송산아파트,1998,2023,5,25,"38,500",0,84.87,18,동소문동4가
성북힐스테이트(102동),2007,2023,5,27,"43,000",0,106.28,15,하월곡동
정릉힐스테이트3차,2008,2023,5,19,"39,000",0,59.98,10,정릉동
보문파크뷰자이,2017,2023,5,29,"52,000",0,72.9,1,보문동6가
래미안포레카운티,2021,2023,5,27,"51,000",0,84.97,5,장위동
래미안포레카운티,2021,2023,6,28,"48,000",0,84.97,4,장위동
정릉푸른마을동아,2003,2023,6,17,"35,000",0,84.96,8,정릉동
래미안장위퍼스트하이,2020,2023,6,26,"40,793",0,59.99,11,장위동
월곡래미안루나밸리,2007,2023,6,26,"30,000",50,59.98,6,하월곡동
보문파크뷰자이,2017,2023,6,26,"41,580",0,59.19,4,보문동6가
래미안라센트,2011,2023,6,28,"55,000",0,84.99,3,종암동
정릉푸르지오,2005,2023,6,30,"5,000",120,59.98,7,정릉동
보문파크뷰자이,2017,2023,6,10,"48,000",0,59.81,10,보문동6가
성북힐스테이트(101동),2007,2023,6,26,"50,000",0,101.97,15,하월곡동
래미안월곡,2006,2023,6,24,"45,000",0,84.589,19,하월곡동
이수브라운스톤돈암,2004,2023,7,8,"40,000",0,59.99,8,돈암동
길음뉴타운4단지(e편한세상),2005,2023,7,24,"54,900",0,84.64,5,길음동
대우,2001,2023,7,22,"34,000",30,114.84,6,정릉동
동부센트레빌,2003,2023,7,6,"62,000",0,115.51,10,돈암동
동아에코빌,2003,2023,7,19,"37,000",0,59.95,21,상월곡동
길음뉴타운1단지(래미안길음1차),2003,2023,7,15,"35,000",4,59.99,17,길음동
안암동삼성래미안,2005,2023,7,29,"69,000",0,114.926,13,안암동1가
종암에스케이,1999,2023,7,4,"34,500",0,59.04,11,종암동
길음역금호어울림센터힐,2014,2023,7,29,"49,000",0,84.88,7,돈암동
길음뉴타운1단지(래미안길음1차),2003,2023,7,28,"42,253",0,59.99,11,길음동
보문파크뷰자이,2017,2023,8,13,"52,500",0,59.19,4,보문동6가
길음뉴타운7단지(두산위브),2010,2023,8,23,"44,000",0,59.99,13,길음동
길음동동부센트레빌(1278-0),2003,2023,8,21,"20,000",150,114.912,2,길음동
래미안아트리치,2019,2023,8,12,"49,000",0,59.98,7,석관동
래미안세레니티,2009,2023,8,2,"20,000",85,59.97,11,종암동
래미안크리시엘,2004,2023,8,30,"30,000",70,84.95,8,종암동
꿈의숲아이파크,2022,2023,8,26,"55,000",0,84.48,1,장위동
두산,1998,2023,8,29,"32,000",0,54.55,6,석관동
래미안크리시엘,2004,2023,8,26,"39,000",0,59.99,12,종암동
정릉e-편한세상,2006,2023,8,15,"10,000",100,59.77,1,정릉동
래미안장위퍼스트하이,2020,2023,9,23,"62,000",0,101.72,20,장위동
길음뉴타운5단지(래미안),2006,2023,9,2,"60,000",0,84.96,12,길음동
이수브라운스톤돈암,2004,2023,9,12,"7,000",75,59.99,2,돈암동
길음뉴타운9단지(래미안),2010,2023,9,12,"5,000",171,84.96,16,길음동
길음동동부센트레빌(1278-0),2003,2023,9,25,"39,000",0,59.998,5,길음동
래미안장위퍼스트하이,2020,2023,9,23,"56,000",0,84.94,20,장위동
중앙하이츠빌1단지,2004,2023,9,17,"29,850",0,59.98,2,정릉동
길음뉴타운1단지(래미안길음1차),2003,2023,9,25,"5,000",130,84.96,8,길음동
길음동동부센트레빌(1278-0),2003,2023,9,23,"5,000",170,84.844,15,길음동
길음동동부센트레빌(1278-0),2003,2023,9,19,"48,000",0,84.844,7,길음동
길음뉴타운8단지(래미안),2010,2023,10,17,"41,400",0,84.82,8,길음동
길음뉴타운8단지(래미안),2010,2023,10,10,"45,000",0,59.99,19,길음동
길음동동부센트레빌(1278-0),2003,2023,10,14,"47,000",0,84.844,15,길음동
라온유,2008,2023,10,26,"45,100",0,84.65,10,정릉동
이수브라운스톤돈암,2004,2023,10,14,"28,000",80,84.97,3,돈암동
월곡래미안루나밸리,2007,2023,10,16,"60,900",20,114.93,18,하월곡동
길음동동부센트레빌(1278-0),2003,2023,10,28,"30,000",70,84.844,2,길음동
이편한세상보문,2013,2023,10,14,"55,000",0,84.774,11,보문동3가
래미안라센트,2011,2023,10,21,"50,000",0,59.98,23,종암동
길음뉴타운7단지(두산위브),2010,2023,10,7,"53,000",0,59.99,12,길음동
길음뉴타운4단지(e편한세상),2005,2023,11,28,"54,070",0,84.64,14,길음동
이수브라운스톤돈암,2004,2023,11,15,"45,000",0,59.99,16,돈암동
정릉e-편한세상,2006,2023,11,25,"37,000",0,59.77,9,정릉동
래미안길음센터피스,2019,2023,11,28,"76,000",0,84.95,13,길음동
꿈의숲코오롱하늘채,2017,2023,11,15,"50,000",0,84.87,9,장위동
래미안길음센터피스,2019,2023,11,24,"59,000",0,59.9,21,길음동
래미안길음센터피스,2019,2023,11,24,"10,000",180,59.97,14,길음동
길음뉴타운7단지(두산위브),2010,2023,11,24,"53,000",0,59.98,8,길음동
길음뉴타운1단지(래미안길음1차),2003,2023,11,8,"46,000",0,59.99,9,길음동
동일하이빌뉴시티,2011,2023,11,30,"110,000",0,178.84,28,하월곡동
종암에스케이,1999,2023,12,31,"39,000",0,59.04,21,종암동
두산,1998,2023,12,28,"10,000",90,59.97,16,석관동
두산,1998,2023,12,22,"38,000",0,59.97,5,석관동
길음뉴타운경남아너스빌,1999,2023,12,19,"35,000",0,59.59,4,정릉동
래미안세레니티,2009,2023,12,9,"5,000",150,59.97,10,종암동
삼선현대힐스테이트,2009,2023,12,7,"37,044",0,56.83,1,삼선동2가
두산,1998,2023,12,2,"38,000",0,59.97,2,석관동
길음뉴타운6단지(래미안),2007,2023,12,15,"5,000",165,59.373,8,길음동
월곡래미안루나밸리,2007,2023,12,31,"53,000",0,84.88,17,하월곡동
길음뉴타운6단지(래미안),2007,2023,12,16,"48,000",0,59.373,2,길음동
금광포란재아파트,2005,2014,1,11,"21,000",0,59.611,8,방학동
한신,1995,2014,1,7,"18,500",0,77.46,10,도봉동
창동주공4단지,1991,2014,1,18,"9,000",0,36.16,11,창동
창동주공3단지(해등마을),1990,2014,1,20,"4,000",55,61.52,15,창동
북한산아이파크5차,2004,2014,1,23,"31,000",0,119.1731,2,창동
주공17단지,1989,2014,1,23,"13,000",0,49.94,5,창동
현대3,1995,2014,1,12,"17,500",0,84.93,9,쌍문동
서원,1996,2014,1,10,"3,000",50,49.77,9,도봉동
창동주공3단지(해등마을),1990,2014,1,28,"10,000",30,71.89,5,창동
한양2,1988,2014,1,29,"12,000",0,48.96,15,쌍문동
우성아파트1,1992,2014,2,17,"5,500",50,72.06,3,방학동
창동주공3단지(해등마을),1990,2014,2,24,"17,000",0,59.39,3,창동
주공17단지,1989,2014,2,20,"7,000",0,36.34,3,창동
청구아파트,1994,2014,2,20,"1,000",90,84.97,2,방학동
대원그린아파트,1987,2014,2,20,"9,500",0,46.86,12,방학동
한양6,2002,2014,2,27,"25,000",0,83.86,5,쌍문동
창동주공4단지,1991,2014,2,17,"9,500",0,41.3,3,창동
상아1차아파트,1987,2014,2,21,"3,000",40,45.54,11,창동
쌍문금용,1995,2014,2,18,"20,000",0,84.54,4,쌍문동
현대2,1993,2014,2,19,"19,000",0,85,5,쌍문동
주공17단지,1989,2014,3,22,"2,000",40,41.3,6,창동
우성아파트1,1992,2014,3,26,"17,500",0,84.69,3,방학동
쌍용,1997,2014,3,10,"20,000",0,59.88,2,창동
주공17단지,1989,2014,3,4,"9,000",0,36.16,13,창동
한신,1995,2014,3,28,"1,000",65,84.94,9,도봉동
한신,1995,2014,3,21,"16,500",0,84.94,1,도봉동
창동주공3단지(해등마을),1990,2014,3,11,"16,000",0,58.01,14,창동
한양수자인,2010,2014,3,14,"20,000",0,116.43,10,도봉동
한신,1995,2014,3,31,"21,000",0,84.94,3,도봉동
대우파크힐(쌍문동이안),2004,2014,3,15,"25,000",0,84.955,5,쌍문동
서원,1996,2014,4,2,"13,500",0,49.14,17,도봉동
창동주공1단지,1990,2014,4,26,"10,000",0,41.3,15,창동
서원,1996,2014,4,19,"14,000",0,59.76,17,도봉동
창동주공18단지,1988,2014,4,3,"3,000",40,45.77,2,창동
한양2,1988,2014,4,2,"12,700",0,48.96,14,쌍문동
서광,1999,2014,4,8,"13,000",0,59.58,6,도봉동
우성아파트1,1992,2014,4,6,"18,000",0,83.85,2,방학동
삼성래미안,1992,2014,4,28,"23,500",0,84.87,9,창동
동아청솔,1997,2014,4,22,"28,000",0,84.97,8,창동
신동아아파트1,1986,2014,4,4,"14,000",0,62.22,15,방학동
한양5,1991,2014,5,31,"17,000",0,65.37,3,쌍문동
주공17단지,1989,2014,5,19,"9,000",0,36.16,2,창동
창동주공3단지(해등마을),1990,2014,5,10,"19,000",0,59.22,5,창동
주공17단지,1989,2014,5,7,"4,000",20,36.16,13,창동
동아청솔,1997,2014,5,14,"3,000",65,59.96,1,창동
서원,1996,2014,5,13,"12,000",0,49.77,8,도봉동
대우파크힐(쌍문동이안),2004,2014,5,29,"20,000",0,84.955,1,쌍문동
한양6,2002,2014,5,23,"20,000",0,83.86,10,쌍문동
벽산아파트2,1998,2014,5,27,"15,000",0,59.581,5,방학동
삼익세라믹,1988,2014,5,31,"3,000",40,40.11,12,쌍문동
한양2,1988,2014,6,25,"8,500",0,35.1,2,쌍문동
동아청솔,1997,2014,6,25,"20,000",0,59.76,3,창동
창동주공4단지,1991,2014,6,10,"13,000",0,49.94,7,창동
쌍용,1997,2014,6,14,"28,000",0,84.76,14,창동
도봉파크빌2,2002,2014,6,11,"23,000",0,84.163,8,도봉동
한양6,2002,2014,6,6,"20,000",0,83.86,9,쌍문동
청구아파트,1994,2014,6,30,"20,000",0,84.97,9,방학동
쌍용,1997,2014,6,17,"27,000",0,84.76,9,창동
창동주공2단지,1990,2014,6,23,"14,000",0,49.94,15,창동
금광포란재아파트,2005,2014,6,28,"18,000",0,59.611,2,방학동
주공17단지,1989,2014,7,28,"9,000",0,36.16,3,창동
동아에코빌,2003,2014,7,24,"21,500",20,84.967,4,도봉동
동아청솔,1997,2014,7,31,"7,000",50,59.76,9,창동
창동주공3단지(해등마을),1990,2014,7,23,"19,500",0,66.56,2,창동
동아,1988,2014,7,19,"23,000",0,88.23,11,창동
삼성래미안,1992,2014,7,26,"20,000",25,84.87,6,창동
대동,1999,2014,7,15,"18,000",0,79.68,6,창동
삼익세라믹아파트,1988,2014,7,21,"15,000",0,58.77,13,방학동
벽산아파트2,1998,2014,7,2,"20,000",0,84.98,5,방학동
창동주공1단지,1990,2014,7,11,"10,000",0,41.3,15,창동
신동아아파트3,1992,2014,8,22,"20,000",0,84.86,9,방학동
창동주공1단지,1990,2014,8,6,"10,500",0,41.3,8,창동
창동주공4단지,1991,2014,8,25,"11,200",0,41.3,5,창동
동아그린,1996,2014,8,8,"9,000",80,84.94,3,창동
삼익세라믹,1988,2014,8,15,"1,000",50,40.11,7,쌍문동
주공17단지,1989,2014,8,25,"9,000",0,36.16,3,창동
청구,1996,2014,8,28,"22,000",0,84.63,17,쌍문동
우성아파트1,1992,2014,8,27,"21,000",0,83.85,12,방학동
서울가든,1987,2014,8,17,"15,000",0,75.33,8,도봉동
현대1,1990,2014,8,12,"20,000",0,84.66,4,쌍문동
창동주공3단지(해등마을),1990,2014,9,19,"15,000",0,49.94,2,창동
백조,1981,2014,9,18,"13,000",0,64.43,2,쌍문동
동부센트레빌아파트,2005,2014,9,23,"29,000",0,84.569,8,방학동
주공19단지(창동리버타운),1988,2014,9,22,"16,000",0,59.39,8,창동
창동2차현대,2001,2014,9,26,"28,000",0,84.504,3,창동
신동아아파트1,1986,2014,9,20,"14,000",0,62.22,4,방학동
우성아파트1,1992,2014,9,5,"20,000",0,84.69,8,방학동
한양6,2002,2014,9,25,"5,000",60,83.86,2,쌍문동
금호1,1990,2014,9,23,"18,000",0,70.13,5,쌍문동
한신,1995,2014,9,3,"21,000",0,84.94,17,도봉동
삼익세라믹아파트,1988,2014,10,1,"14,500",0,58.77,6,방학동
한양1,1986,2014,10,20,"22,000",0,79.2,13,쌍문동
창동주공4단지,1991,2014,10,8,"1,000",40,36.16,1,창동
한양2,1988,2014,10,31,"7,000",0,59.67,1,쌍문동
삼익세라믹아파트,1988,2014,10,21,"7,500",0,58.77,7,방학동
삼성래미안,1992,2014,10,11,"23,000",0,84.87,15,창동
대상타운현대아파트,2001,2014,10,13,"38,000",0,133.97,10,방학동
퍼스티안,2013,2014,10,25,"1,000",40,13.6794,12,방학동
창동2차현대,2001,2014,10,1,"18,000",15,59.499,20,창동
한화성원아파트,1996,2014,10,31,"6,500",0,59.88,9,방학동
한양2,1988,2014,11,7,"9,500",0,35.1,5,쌍문동
신동아아파트1,1986,2014,11,17,"13,000",0,53.16,11,방학동
동아청솔,1997,2014,11,21,"28,000",0,84.97,5,창동
주공17단지,1989,2014,11,22,"7,500",0,36.16,5,창동
창동주공1단지,1990,2014,11,20,"14,000",0,49.94,4,창동
금호1,1990,2014,11,14,"6,000",12,36.36,10,쌍문동
창동주공18단지,1988,2014,11,1,"13,500",0,45.77,10,창동
주공19단지(창동리버타운),1988,2014,11,4,"4,000",100,90.94,7,창동
신동아아파트1,1986,2014,11,26,"15,000",0,53.16,8,방학동
방학동삼성래미안1,2002,2014,11,27,"32,000",0,84.937,17,방학동
서원,1996,2014,12,6,"15,300",0,59.76,12,도봉동
창동신도브래뉴1차,2003,2014,12,13,"30,000",0,84.989,22,창동
서원,1996,2014,12,29,333,2,24.05,3,도봉동
주공19단지(창동리버타운),1988,2014,12,2,"6,000",0,99.75,1,창동
청구아파트,1994,2014,12,6,"20,000",0,84.97,6,방학동
퍼스티안,2013,2014,12,26,"7,000",0,13.6794,10,방학동
삼익세라믹,1988,2014,12,2,"2,000",40,42.93,7,쌍문동
삼익세라믹,1988,2014,12,25,"14,500",0,58.77,2,쌍문동
성원상떼빌,2001,2014,12,9,"22,000",0,59.75,8,창동
창동주공3단지(해등마을),1990,2014,12,17,"12,000",0,41.3,8,창동
동아청솔,1997,2015,2,13,"30,000",0,84.97,15,창동
파라다이스빌,2004,2015,2,28,"26,000",0,83.02,9,쌍문동
신동아아파트1,1986,2015,2,26,"12,000",0,43.35,12,방학동
창동주공3단지(해등마을),1990,2015,2,26,"17,000",0,59.39,13,창동
도봉파크빌2,2002,2015,2,7,"25,000",0,84.354,13,도봉동
창동주공1단지,1990,2015,2,10,"12,500",0,41.3,4,창동
서울가든,1987,2015,2,27,"19,000",0,75.33,12,도봉동
한양6,2002,2015,2,14,"21,000",0,83.86,15,쌍문동
초안산신도브래뉴,2005,2015,2,28,"23,000",0,84.9991,1,창동
동아청솔,1997,2015,2,25,"22,000",0,59.445,10,창동
현대1,1990,2015,3,11,"16,000",0,63.36,3,쌍문동
대웅,1989,2015,3,19,"8,000",0,52.02,3,쌍문동
주공17단지,1989,2015,3,15,"8,000",0,36.16,3,창동
주공17단지,1989,2015,3,19,"7,800",12,36.16,9,창동
창동주공2단지,1990,2015,3,3,500,50,36.16,2,창동
창동주공3단지(해등마을),1990,2015,3,20,"18,000",0,61.52,2,창동
주공17단지,1989,2015,3,28,"8,000",0,36.16,2,창동
동도센트리움,2009,2015,3,23,"20,000",30,80.722,7,창동
한화성원아파트,1996,2015,3,31,"5,000",50,59.88,4,방학동
우성아파트2,1993,2015,3,24,"19,000",0,84.98,1,방학동
한양2,1988,2015,4,23,"4,500",45,59.67,8,쌍문동
신동아아파트1,1986,2015,4,18,"29,000",0,112.49,6,방학동
신동아아파트3,1992,2015,4,28,"19,000",0,84.86,1,방학동
방학동삼성래미안1,2002,2015,4,13,"34,000",0,84.937,21,방학동
한양2,1988,2015,4,20,"17,500",0,76.92,13,쌍문동
신동아타워아파트,1997,2015,4,13,"15,000",0,60,11,방학동
주공17단지,1989,2015,4,24,"12,000",0,41.3,1,창동
주공19단지(창동리버타운),1988,2015,4,25,"18,000",0,59.39,1,창동
창동주공18단지,1988,2015,4,21,"14,000",0,45.9,7,창동
삼환도봉,1987,2015,4,30,"18,000",0,73.89,4,도봉동
대상타운현대아파트,2001,2015,5,9,"28,000",0,101.4,3,방학동
한양5,1991,2015,5,29,"20,000",0,76.405,9,쌍문동
창동주공2단지,1990,2015,5,23,"13,000",0,41.3,14,창동
대우그린,2000,2015,5,31,"20,000",35,84.93,4,창동
삼성래미안,1992,2015,5,6,"28,000",0,84.87,11,창동
한양5,1991,2015,5,30,"2,000",0,65.37,15,쌍문동
청구아파트,1994,2015,5,14,"23,000",0,84.97,1,방학동
신동아아파트1,1986,2015,5,28,"15,500",0,53.16,6,방학동
창동주공2단지,1990,2015,5,1,"12,500",0,36.16,12,창동
창동주공2단지,1990,2015,5,19,"4,000",30,36.16,15,창동
상아1차아파트,1987,2015,6,28,"12,000",0,45.54,11,창동
대상타운현대아파트,2001,2015,6,22,"26,000",0,60,2,방학동
창동현대4차,2003,2015,6,16,"38,000",0,101.9957,15,창동
주공19단지(창동리버타운),1988,2015,6,8,"27,000",0,99.75,11,창동
신창,1998,2015,6,18,"16,000",0,59.4,2,창동
신동아아파트2,1992,2015,6,3,"23,000",0,84.82,7,방학동
쌍문동삼성래미안,2002,2015,6,1,"25,000",0,59.9899,14,쌍문동
청구아파트,1994,2015,6,9,"25,000",0,84.97,4,방학동
동아그린,1996,2015,6,9,"25,000",0,84.94,9,창동
우암쎈스뷰아파트,2003,2015,6,23,"27,500",0,84.2,3,방학동
주공19단지(창동리버타운),1988,2015,7,4,"17,000",0,60.5,3,창동
삼성래미안,1992,2015,7,4,"30,000",0,84.87,13,창동
