년도,월,일,시간,측정지점,소음도,비고
2018,11,15,2,성수동,69.2,
2018,11,15,3,성수동,68.2,
2018,11,15,4,성수동,67.0,
2018,11,15,5,성수동,67.1,
2018,11,15,6,성수동,69.8,
2018,11,15,7,성수동,71.1,
2018,11,15,8,성수동,73.4,
2018,11,15,9,성수동,72.4,
2018,11,15,10,성수동,72.8,
2018,11,15,11,성수동,72.6,
2018,11,15,12,성수동,72.3,
2018,11,15,13,성수동,72.0,
2018,11,15,14,성수동,72.1,
2018,11,15,15,성수동,71.8,
2018,11,15,16,성수동,72.5,
2018,11,15,17,성수동,72.4,
2018,11,15,18,성수동,71.5,
2018,11,15,19,성수동,71.6,
2018,11,15,20,성수동,72.6,
2018,11,15,21,성수동,72.0,
2018,11,15,22,성수동,71.7,
2018,11,15,23,성수동,71.5,
2018,11,15,24,성수동,70.9,
2018,11,16,1,성수동,70.1,
2018,11,16,2,성수동,68.4,
2018,11,16,3,성수동,67.9,
2018,11,16,4,성수동,67.5,
2018,11,16,5,성수동,67.2,
2018,11,16,6,성수동,69.0,
2018,11,16,7,성수동,70.6,
2018,11,16,8,성수동,72.0,
2018,11,16,9,성수동,72.2,
2018,11,16,10,성수동,72.2,
2018,11,16,11,성수동,72.1,
2018,11,16,12,성수동,72.4,
2018,11,16,13,성수동,72.2,
2018,11,16,14,성수동,72.2,
2018,11,16,15,성수동,72.1,
2018,11,16,16,성수동,72.1,
2018,11,16,17,성수동,72.6,
2018,11,16,18,성수동,72.2,
2018,11,16,19,성수동,70.1,
2018,11,16,20,성수동,70.7,
2018,11,16,21,성수동,72.1,
2018,11,16,22,성수동,71.9,
2018,11,16,23,성수동,71.7,
2018,11,16,24,성수동,71.4,
2018,11,17,1,성수동,70.1,
2018,11,17,2,성수동,69.6,
2018,11,17,3,성수동,69.3,
2018,11,17,4,성수동,68.2,
2018,11,17,5,성수동,68.0,
2018,11,17,6,성수동,68.9,
2018,11,17,7,성수동,70.5,
2018,11,17,8,성수동,71.5,
2018,11,17,9,성수동,72.6,
2018,11,17,10,성수동,72.6,
2018,11,17,11,성수동,72.8,
2018,11,17,12,성수동,72.8,
2018,11,17,13,성수동,72.7,
2018,11,17,14,성수동,72.7,
2018,11,17,15,성수동,73.1,
2018,11,17,16,성수동,72.9,
2018,11,17,17,성수동,73.1,
2018,11,17,18,성수동,72.6,
2018,11,17,19,성수동,72.0,
2018,11,17,20,성수동,72.0,
2018,11,17,21,성수동,71.6,
2018,11,17,22,성수동,71.6,
2018,11,17,23,성수동,70.9,
2018,11,17,24,성수동,70.6,
2018,11,18,1,성수동,70.0,
2018,11,18,2,성수동,69.1,
2018,11,18,3,성수동,68.4,
2018,11,18,4,성수동,67.1,
2018,11,18,5,성수동,67.2,
2018,11,18,6,성수동,67.1,
2018,11,18,7,성수동,67.6,
2018,11,18,8,성수동,69.0,
2018,11,18,9,성수동,70.6,
2018,11,18,10,성수동,70.9,
2018,11,18,11,성수동,-,장비 및 시스템 교체
2018,11,18,12,성수동,-,장비 및 시스템 교체
2018,11,18,13,성수동,-,장비 및 시스템 교체
2018,11,18,14,성수동,-,장비 및 시스템 교체
2018,11,18,15,성수동,-,장비 및 시스템 교체
2018,11,18,16,성수동,-,장비 및 시스템 교체
2018,11,18,17,성수동,-,장비 및 시스템 교체
2018,11,18,18,성수동,-,장비 및 시스템 교체
2018,11,18,19,성수동,-,장비 및 시스템 교체
2018,11,18,20,성수동,-,장비 및 시스템 교체
2018,11,18,21,성수동,-,장비 및 시스템 교체
2018,11,18,22,성수동,-,장비 및 시스템 교체
2018,11,18,23,성수동,-,장비 및 시스템 교체
2018,11,18,24,성수동,-,장비 및 시스템 교체
2018,11,19,1,성수동,-,장비 및 시스템 교체
2018,11,19,2,성수동,-,장비 및 시스템 교체
2018,11,19,3,성수동,-,장비 및 시스템 교체
2018,11,19,4,성수동,-,장비 및 시스템 교체
2018,11,19,5,성수동,-,장비 및 시스템 교체
2018,11,19,6,성수동,-,장비 및 시스템 교체
2018,11,19,7,성수동,-,장비 및 시스템 교체
2018,11,19,8,성수동,-,장비 및 시스템 교체
2018,11,19,9,성수동,-,장비 및 시스템 교체
2018,11,19,10,성수동,-,장비 및 시스템 교체
2018,11,19,11,성수동,-,장비 및 시스템 교체
2018,11,19,12,성수동,-,장비 및 시스템 교체
2018,11,19,13,성수동,-,장비 및 시스템 교체
2018,11,19,14,성수동,-,장비 및 시스템 교체
2018,11,19,15,성수동,-,장비 및 시스템 교체
2018,11,19,16,성수동,72.4,
2018,11,19,17,성수동,72.2,
2018,11,19,18,성수동,71.8,
2018,11,19,19,성수동,68.7,
2018,11,19,20,성수동,70.4,
2018,11,19,21,성수동,71.8,
2018,11,19,22,성수동,71.6,
2018,11,19,23,성수동,71.0,
2018,11,19,24,성수동,70.2,
2018,11,20,1,성수동,69.2,
2018,11,20,2,성수동,67.8,
2018,11,20,3,성수동,66.3,
2018,11,20,4,성수동,66.3,
2018,11,20,5,성수동,67.3,
2018,11,20,6,성수동,68.3,
2018,11,20,7,성수동,71.0,
2018,11,20,8,성수동,72.7,
2018,11,20,9,성수동,73.1,
2018,11,20,10,성수동,72.3,
2018,11,20,11,성수동,71.8,
2018,11,20,12,성수동,72.3,
2018,11,20,13,성수동,72.3,
2018,11,20,14,성수동,71.7,
2018,11,20,15,성수동,71.9,
2018,11,20,16,성수동,72.5,
2018,11,20,17,성수동,72.1,
2018,11,20,18,성수동,71.7,
2018,11,20,19,성수동,71.1,
2018,11,20,20,성수동,72.0,
2018,11,20,21,성수동,71.6,
2018,11,20,22,성수동,71.6,
2018,11,20,23,성수동,71.2,
2018,11,20,24,성수동,70.4,
2018,11,21,1,성수동,71.1,
2018,11,21,2,성수동,70.9,
2018,11,21,3,성수동,69.4,
2018,11,21,4,성수동,68.8,
2018,11,21,5,성수동,67.7,
2018,11,21,6,성수동,70.0,
2018,11,21,7,성수동,72.0,
2018,11,21,8,성수동,73.5,
2018,11,21,9,성수동,73.3,
2018,11,21,10,성수동,72.7,
2018,11,21,11,성수동,71.6,
2018,11,21,12,성수동,72.6,
2018,11,21,13,성수동,71.9,
2018,11,21,14,성수동,72.2,
2018,11,21,15,성수동,72.6,
2018,11,21,16,성수동,72.8,
2018,11,21,17,성수동,72.6,
2018,11,21,18,성수동,72.3,
2018,11,21,19,성수동,71.2,
2018,11,21,20,성수동,72.3,
2018,11,21,21,성수동,72.6,
2018,11,21,22,성수동,71.7,
2018,11,21,23,성수동,71.9,
2018,11,21,24,성수동,71.2,
2018,11,22,1,성수동,70.4,
2018,11,22,2,성수동,69.3,
2018,11,22,3,성수동,68.2,
2018,11,22,4,성수동,66.9,
2018,11,22,5,성수동,67.2,
2018,11,22,6,성수동,69.9,
2018,11,22,7,성수동,71.2,
2018,11,22,8,성수동,72.6,
2018,11,22,9,성수동,72.7,
2018,11,22,10,성수동,72.1,
2018,11,22,11,성수동,72.1,
2018,11,22,12,성수동,72.4,
2018,11,22,13,성수동,71.8,
2018,11,22,14,성수동,72.0,
2018,11,22,15,성수동,72.2,
2018,11,22,16,성수동,72.6,
2018,11,22,17,성수동,72.6,
2018,11,22,18,성수동,72.5,
2018,11,22,19,성수동,72.3,
2018,11,22,20,성수동,72.7,
2018,11,22,21,성수동,72.1,
2018,11,22,22,성수동,71.7,
2018,11,22,23,성수동,71.6,
2018,11,22,24,성수동,71.1,
2018,11,23,1,성수동,69.9,
2018,11,23,2,성수동,68.8,
2018,11,23,3,성수동,67.8,
2018,11,23,4,성수동,67.3,
2018,11,23,5,성수동,67.3,
2018,11,23,6,성수동,68.9,
2018,11,23,7,성수동,71.1,
2018,11,23,8,성수동,72.8,
2018,11,23,9,성수동,73.3,
2018,11,23,10,성수동,72.5,
2018,11,23,11,성수동,72.2,
2018,11,23,12,성수동,72.4,
2018,11,23,13,성수동,72.3,
2018,11,23,14,성수동,72.0,
2018,11,23,15,성수동,72.4,
2018,11,23,16,성수동,72.2,
2018,11,23,17,성수동,72.3,
2018,11,23,18,성수동,71.9,
2018,11,23,19,성수동,69.9,
2018,11,23,20,성수동,71.5,
2018,11,23,21,성수동,72.1,
2018,11,23,22,성수동,72.0,
2018,11,23,23,성수동,71.7,
2018,11,23,24,성수동,71.0,
2018,11,24,1,성수동,70.9,
2018,11,24,2,성수동,69.1,
2018,11,24,3,성수동,68.2,
2018,11,24,4,성수동,67.6,
2018,11,24,5,성수동,67.2,
2018,11,24,6,성수동,68.6,
2018,11,24,7,성수동,69.9,
2018,11,24,8,성수동,73.0,
2018,11,24,9,성수동,75.8,
2018,11,24,10,성수동,75.2,
2018,11,24,11,성수동,75.9,
2018,11,24,12,성수동,75.0,
2018,11,24,13,성수동,75.4,
2018,11,24,14,성수동,75.1,
2018,11,24,15,성수동,74.9,
2018,11,24,16,성수동,75.1,
2018,11,24,17,성수동,74.7,
2018,11,24,18,성수동,74.5,
2018,11,24,19,성수동,74.0,
2018,11,24,20,성수동,73.2,
2018,11,24,21,성수동,72.7,
2018,11,24,22,성수동,72.6,
2018,11,24,23,성수동,71.9,
2018,11,24,24,성수동,71.9,
2018,11,25,1,성수동,71.0,
2018,11,25,2,성수동,69.9,
2018,11,25,3,성수동,69.6,
2018,11,25,4,성수동,68.7,
2018,11,25,5,성수동,67.8,
2018,11,25,6,성수동,68.0,
2018,11,25,7,성수동,68.9,
2018,11,25,8,성수동,70.7,
2018,11,25,9,성수동,72.4,
2018,11,25,10,성수동,72.6,
2018,11,25,11,성수동,73.1,
2018,11,25,12,성수동,73.0,
2018,11,25,13,성수동,73.3,
2018,11,25,14,성수동,73.0,
2018,11,25,15,성수동,73.4,
2018,11,25,16,성수동,73.2,
2018,11,25,17,성수동,72.8,
2018,11,25,18,성수동,72.4,
2018,11,25,19,성수동,71.9,
2018,11,25,20,성수동,71.8,
2018,11,25,21,성수동,71.4,
2018,11,25,22,성수동,71.5,
2018,11,25,23,성수동,70.9,
2018,11,25,24,성수동,70.7,
2018,11,26,1,성수동,70.5,
2018,11,26,2,성수동,68.0,
2018,11,26,3,성수동,67.3,
2018,11,26,4,성수동,66.1,
2018,11,26,5,성수동,66.8,
2018,11,26,6,성수동,69.5,
2018,11,26,7,성수동,71.5,
2018,11,26,8,성수동,73.6,
2018,11,26,9,성수동,73.2,
2018,11,26,10,성수동,72.1,
2018,11,26,11,성수동,72.5,
2018,11,26,12,성수동,72.7,
2018,11,26,13,성수동,72.3,
2018,11,26,14,성수동,72.3,
2018,11,26,15,성수동,72.7,
2018,11,26,16,성수동,72.7,
2018,11,26,17,성수동,72.6,
2018,11,26,18,성수동,72.5,
2018,11,26,19,성수동,70.0,
2018,11,26,20,성수동,71.9,
2018,11,26,21,성수동,72.3,
2018,11,26,22,성수동,72.0,
2018,11,26,23,성수동,71.9,
2018,11,26,24,성수동,71.2,
2018,11,27,1,성수동,70.1,
2018,11,27,2,성수동,69.0,
2018,11,27,3,성수동,67.3,
2018,11,27,4,성수동,67.6,
2018,11,27,5,성수동,67.5,
2018,11,27,6,성수동,69.0,
2018,11,27,7,성수동,71.2,
2018,11,27,8,성수동,72.7,
2018,11,27,9,성수동,72.9,
2018,11,27,10,성수동,72.3,
2018,11,27,11,성수동,72.1,
2018,11,27,12,성수동,72.2,
2018,11,27,13,성수동,72.2,
2018,11,27,14,성수동,72.2,
2018,11,27,15,성수동,72.1,
2018,11,27,16,성수동,72.3,
2018,11,27,17,성수동,72.1,
2018,11,27,18,성수동,72.2,
2018,11,27,19,성수동,70.7,
2018,11,27,20,성수동,72.2,
2018,11,27,21,성수동,71.7,
2018,11,27,22,성수동,71.5,
2018,11,27,23,성수동,71.3,
2018,11,27,24,성수동,70.9,
2018,11,28,1,성수동,69.4,
2018,11,28,2,성수동,68.7,
2018,11,28,3,성수동,67.0,
2018,11,28,4,성수동,66.8,
2018,11,28,5,성수동,67.4,
2018,11,28,6,성수동,68.4,
2018,11,28,7,성수동,70.8,
2018,11,28,8,성수동,72.3,
2018,11,28,9,성수동,72.3,
2018,11,28,10,성수동,72.0,
2018,11,28,11,성수동,71.7,
2018,11,28,12,성수동,71.7,
2018,11,28,13,성수동,71.7,
2018,11,28,14,성수동,71.8,
2018,11,28,15,성수동,72.1,
2018,11,28,16,성수동,72.7,
2018,11,28,17,성수동,72.3,
2018,11,28,18,성수동,72.2,
2018,11,28,19,성수동,69.9,
2018,11,28,20,성수동,71.3,
2018,11,28,21,성수동,72.1,
2018,11,28,22,성수동,71.7,
2018,11,28,23,성수동,71.4,
2018,11,28,24,성수동,71.0,
2018,11,29,1,성수동,70.1,
2018,11,29,2,성수동,69.3,
2018,11,29,3,성수동,67.7,
2018,11,29,4,성수동,67.7,
2018,11,29,5,성수동,67.0,
2018,11,29,6,성수동,68.5,
2018,11,29,7,성수동,70.9,
2018,11,29,8,성수동,72.5,
2018,11,29,9,성수동,72.1,
2018,11,29,10,성수동,71.7,
2018,11,29,11,성수동,71.0,
2018,11,29,12,성수동,71.7,
2018,11,29,13,성수동,71.7,
2018,11,29,14,성수동,72.1,
2018,11,29,15,성수동,72.1,
2018,11,29,16,성수동,72.3,
2018,11,29,17,성수동,72.2,
2018,11,29,18,성수동,72.6,
2018,11,29,19,성수동,71.2,
2018,11,29,20,성수동,72.5,
2018,11,29,21,성수동,71.9,
2018,11,29,22,성수동,71.8,
2018,11,29,23,성수동,71.5,
2018,11,29,24,성수동,71.1,
2018,11,30,1,성수동,70.1,
2018,11,30,2,성수동,69.1,
2018,11,30,3,성수동,68.0,
2018,11,30,4,성수동,67.5,
2018,11,30,5,성수동,66.9,
2018,11,30,6,성수동,68.7,
2018,11,30,7,성수동,71.0,
2018,11,30,8,성수동,72.8,
2018,11,30,9,성수동,73.1,
2018,11,30,10,성수동,72.8,
2018,11,30,11,성수동,72.0,
2018,11,30,12,성수동,72.4,
2018,11,30,13,성수동,72.1,
2018,11,30,14,성수동,72.0,
2018,11,30,15,성수동,72.3,
2018,11,30,16,성수동,72.4,
2018,11,30,17,성수동,72.5,
2018,11,30,18,성수동,71.9,
2018,11,30,19,성수동,72.0,
2018,11,30,20,성수동,71.0,
2018,11,30,21,성수동,72.3,
2018,11,30,22,성수동,71.9,
2018,11,30,23,성수동,72.0,
